Java HotSpot(TM) 64-Bit Server VM (25.111-b14) for windows-amd64 JRE (1.8.0_111-b14), built on Sep 22 2016 19:24:05 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 15674836k(11331508k free), swap 16657876k(11949664k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:InitialTenuringThreshold=1 -XX:MaxHeapSize=536870912 -XX:MaxNewSize=1048576 -XX:MaxTenuringThreshold=1 -XX:NewSize=1048576 -XX:PretenureSizeThreshold=50 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
0.231: [GC (Allocation Failure) 0.231: [DefNew: 960K->64K(960K), 0.0010962 secs] 23138K->22828K(524224K), 0.0011262 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.233: [GC (Allocation Failure) 0.233: [DefNew: 960K->63K(960K), 0.0010894 secs] 23756K->23434K(524224K), 0.0011159 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
0.236: [GC (Allocation Failure) 0.236: [DefNew: 959K->64K(960K), 0.0012844 secs] 24366K->24171K(524224K), 0.0013283 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.240: [GC (Allocation Failure) 0.240: [DefNew: 960K->63K(960K), 0.0012151 secs] 25116K->24806K(524224K), 0.0012530 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.242: [GC (Allocation Failure) 0.242: [DefNew: 959K->63K(960K), 0.0015390 secs] 25763K->25503K(524224K), 0.0015855 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.246: [GC (Allocation Failure) 0.246: [DefNew: 959K->63K(960K), 0.0012915 secs] 26448K->26219K(524224K), 0.0013346 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.248: [GC (Allocation Failure) 0.248: [DefNew: 959K->64K(960K), 0.0013029 secs] 27167K->26879K(524224K), 0.0013839 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.252: [GC (Allocation Failure) 0.252: [DefNew: 960K->64K(960K), 0.0013987 secs] 27796K->27682K(524224K), 0.0014512 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.256: [GC (Allocation Failure) 0.256: [DefNew: 960K->63K(960K), 0.0013483 secs] 28624K->28347K(524224K), 0.0013942 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.258: [GC (Allocation Failure) 0.258: [DefNew: 959K->63K(960K), 0.0016841 secs] 29263K->28917K(524224K), 0.0017240 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.263: [GC (Allocation Failure) 0.263: [DefNew: 959K->63K(960K), 0.0019604 secs] 30326K->29870K(524224K), 0.0020274 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.267: [GC (Allocation Failure) 0.267: [DefNew: 959K->63K(960K), 0.0017309 secs] 30766K->30372K(524224K), 0.0017936 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.271: [GC (Allocation Failure) 0.271: [DefNew: 959K->64K(960K), 0.0010985 secs] 31269K->30762K(524224K), 0.0011407 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.273: [GC (Allocation Failure) 0.273: [DefNew: 960K->63K(960K), 0.0008316 secs] 31658K->31024K(524224K), 0.0008610 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.276: [GC (Allocation Failure) 0.276: [DefNew: 959K->64K(960K), 0.0009078 secs] 31921K->31342K(524224K), 0.0009485 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.279: [GC (Allocation Failure) 0.279: [DefNew: 960K->63K(960K), 0.0008239 secs] 32238K->31643K(524224K), 0.0008488 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.281: [GC (Allocation Failure) 0.281: [DefNew: 959K->63K(960K), 0.0007786 secs] 32540K->31918K(524224K), 0.0008066 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
